k162a,k162b,k20a1,k82a,k82b,k11,b5,a4a,a3a,a6a,l1,b2a,b2b,b4,b4a,b3a,b7,b7a,d2,n3,f1,k21,k6,k9,k3a,k3bc,k3e,k3f,k3dgh,k5a,k5bc,k5e,k5f,k14a,k14b,k14c,k14d,k15a,k33,k38,b6b,c22b,h1,h5,h8,l9b,l10,c6,c7,c9a,c10,k30,c30a,j30f,j30e,e30,d30a,j30a,j30b,k17,m1a,firm_age,registration_age,sales_growth,d2_win,n3_win,k11_win,k15a_win,l1_win,c7_win,ln_sales,ln_sales3,ln_loan,ln_employees,ln_collateral,sector_label,region_label,size_label,sme_size,credit_uptake,has_credit,loan_approved,creditworthy
0.0,0.0,,0.0,0.0,,2017.0,2,6,1,5.0,100.0,0.0,1.0,100.0,1.0,7.0,1.0,4000000.0,5000000.0,90.0,0.0,1.0,,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,,60.0,50.0,2020.0,1.0,1.0,0.0,1.0,100.0,1.0,1.0,25.0,90.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,4.0,-20.0,4000000.0,5000000.0,,,5.0,25.0,15.201805169084134,15.424948670398354,,1.791759469228055,,Garments,South West,Small,Small,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,1984.0,6,5,1,7.0,100.0,0.0,0.0,,1.0,40.0,0.0,18000000.0,10500000.0,,0.0,0.0,,60.0,0.0,0.0,40.0,0.0,,,,,,,,,,80.0,60.0,1995.0,0.0,0.0,0.0,0.0,70.0,1.0,1.0,5.0,60.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,40.0,29.0,71.42857142857143,18000000.0,10500000.0,,,7.0,5.0,16.705882371415992,16.166885910365842,,2.0794415416798357,,Retail,South South,Small,Small,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,2004.0,7,6,1,15.0,100.0,0.0,0.0,,0.0,15.0,0.0,60000000.0,45000000.0,,1.0,1.0,,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,60.0,60.0,2004.0,0.0,1.0,1.0,0.0,100.0,0.0,1.0,10.0,10.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,20.0,20.0,33.33333333333333,60000000.0,45000000.0,,,15.0,10.0,17.909855136853043,17.622173069956816,,2.772588722239781,,Other Services,South West,Small,Small,0.0,0.0,,0
0.0,0.0,,0.0,1.0,500000000.0,1995.0,7,1,3,104.0,100.0,0.0,0.0,,0.0,28.0,0.0,5832000000.0,4000000000.0,,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,,95.0,90.0,1995.0,1.0,1.0,0.0,1.0,80.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,14.0,29.0,29.0,45.800000000000004,5832000000.0,4000000000.0,500000000.0,,104.0,2.0,22.486625831824234,22.109560198316302,20.030118658386467,4.653960350157523,,Other Services,North Central,Large,Large,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,2004.0,1,5,1,5.0,100.0,0.0,1.0,100.0,0.0,5.0,1.0,16000000.0,,,0.0,1.0,,80.0,0.0,0.0,0.0,0.0,,,,,,,,,,60.0,40.0,,0.0,0.0,0.0,0.0,60.0,0.0,1.0,,0.0,0.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,12.0,20.0,,,16000000.0,,,,5.0,,16.588099342704055,,,1.791759469228055,,Food,South South,Small,Small,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,2015.0,2,4,1,7.0,100.0,0.0,0.0,,1.0,10.0,0.0,12000000.0,10000000.0,100.0,1.0,1.0,,60.0,0.0,0.0,0.0,0.0,,,,,,,,,,80.0,20.0,2016.0,0.0,1.0,1.0,0.0,100.0,0.0,0.0,,,1.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,9.0,8.0,20.0,12000000.0,10000000.0,,,7.0,,16.300417291085605,16.118095750958314,,2.0794415416798357,,Garments,South East,Small,Small,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,2009.0,2,4,2,6.0,100.0,0.0,0.0,,0.0,16.0,0.0,20000000.0,18000000.0,100.0,1.0,1.0,,70.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,,,,,,60.0,40.0,2010.0,0.0,1.0,1.0,0.0,100.0,0.0,0.0,,,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,8.0,15.0,14.0,11.11111111111111,20000000.0,18000000.0,,,6.0,,16.811242881518265,16.705882371415992,,1.9459101490553132,,Garments,South East,Medium,Small,0.0,0.0,,0
1.0,1.0,1.0,1.0,1.0,120000.0,2009.0,4,4,1,8.0,100.0,0.0,0.0,,1.0,22.0,0.0,20000000.0,12000000.0,20.0,1.0,1.0,1.0,20.0,20.0,10.0,20.0,20.0,70.0,0.0,0.0,0.0,,,,,,60.0,40.0,2009.0,1.0,0.0,0.0,0.0,100.0,0.0,1.0,20.0,,1.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,,8.0,15.0,15.0,66.66666666666666,20000000.0,12000000.0,120000.0,,8.0,20.0,16.811242881518265,16.300417291085605,11.695255355062795,2.1972245773362196,,Other Manufacturing,South East,Small,Small,1.0,1.0,1.0,1
0.0,0.0,,0.0,0.0,,1990.0,4,1,2,20.0,100.0,0.0,0.0,,0.0,38.0,0.0,38000000.0,30000000.0,100.0,0.0,1.0,,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,20.0,30.0,1990.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,5.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,34.0,34.0,26.666666666666668,38000000.0,30000000.0,,,20.0,5.0,17.453096744006448,17.216707972959764,,3.044522437723423,,Other Manufacturing,North Central,Medium,Medium,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,2009.0,4,5,1,5.0,100.0,0.0,0.0,,1.0,25.0,0.0,8000000.0,3000000.0,90.0,0.0,1.0,,50.0,0.0,0.0,0.0,0.0,,,,,,,,,,70.0,20.0,2011.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,,,1.0,4.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,15.0,13.0,166.66666666666669,8000000.0,3000000.0,,,5.0,,15.894952224644102,14.914123179965662,,1.791759469228055,,Other Manufacturing,South South,Small,Small,0.0,0.0,,0
